"filename", "language", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "CSS", "HTML", "XML", "JavaScript", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetPaymentPlanTemplate.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 26
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetPaymentPlanTemplates.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 25
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetProfilesMinimal.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 24
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetProgramFields.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetProgramLevels.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetProgramPlanClasses.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 36
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetProgramPlanSubjects.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 36
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetProgramPlans.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 21
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetProgramRecognitions.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetPrograms.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 22
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetRto.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 34
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentAddresses.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 26
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentAllClasses.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 74
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentAttendanceSummary.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 133
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentAvetmiss.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 28
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentById.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 45
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentContacts.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 39
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentCricos.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 26
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentDisabilities.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 26
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentDocuments.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 26
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentEnrollmentSubjects.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 73
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentEnrollments.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 26
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentInvoices.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 48
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentPriorEducation.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 26
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudentStats.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 64
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetStudents.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 55
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetSubjects.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 22
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetTemplateInstallments.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 27
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetTimetable.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 35
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetTimetables.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 28
